Date,Score of sentiment,
7/27~8/24,5.769018491,1.7E-06
8/25~9/26,1.178446829,0.066306052
9/27~10/24,3.031072818,0.000930952
10/25~11/26,9.922699204,1.19E-10
11/27~12/12,3.417359136,0.000382508
"In the past month
(N=1000)",5.125044047,7.5E-06
