Date,Score of sentiment,
7/27~8/24,13.33341349,4.64E-14
8/25~9/26,1.178446829,0.066306052
9/27~10/24,7.810985149,1.55E-08
10/25~11/26,3.123378258,0.0007527
11/27~12/12,6.826452355,1.49E-07
"In the past month
(N=1000)",10.62656917,2.36E-11
