Date,Score of sentiment,
7/27~8/24,8.692503962,2.03E-09
8/25~9/26,1.425119227,0.037573424
9/27~10/24,2.140247637,0.00724023
10/25~11/26,8.123205024,7.53E-09
11/27~12/12,4.66756154,2.15E-05
