Date,Score of sentiment,
7/27~8/24,3.941002209,0.000114551
8/25~9/26,6.28876185,5.14E-07
9/27~10/24,2.659048558,0.00219256
10/25~11/26,6.647326117,2.25E-07
11/27~12/12,9.536141971,2.91E-10
"In the past month
(N=1000)",7.142943611,7.20E-08
