Date,Score of sentiment,
8/25~9/26,5.338187314,4.59E-06
9/27~10/24,1.563033174,0.027350598
10/25~11/26,6.357337669,4.392E-07
11/27~12/12,6.866461092,1.36E-07
"In the past month
(N=1000)",6.310691141,4.89E-07
