Date,DPP,KMT,TPP,Not-decided
7/27~8/24,37,22,18,13
8/25~9/26,36,26,28,11
9/27~10/24,34,26,29,10
10/25~11/26,34,31,23,12
11/27~12/12,36,32,22,9
